nombre,poblacion,superficie,continente
Luxemburgo,670000,2586,Europa
Comoras,900000,2235,África
Mauricio,1300000,2040,África
Kiribati,130000,811,Oceanía
Bahréin,1800000,778,Asia
Dominica,72000,751,América
Tonga,107000,747,Oceanía
Singapur,5900000,728,Asia
Micronesia,115000,702,Oceanía
Santa Lucía,210000,616,América
Andorra,80000,468,Europa
Palaos,18000,459,Oceanía
Seychelles,100000,455,África
Seychelles,100000,455,África
Antigua y Barbuda,100000,442,América
Barbados,280000,430,América
San Vicente y las Granadinas,110000,389,América
Granada,120000,344,América
Malta,540000,316,Europa
Maldivas,520000,298,Asia
San Cristóbal y Nieves,55000,261,América
Islas Marshall,42000,181,Oceanía
Liechtenstein,39000,160,Europa
San Marino,34000,61,Europa
Tuvalu,11000,26,Oceanía
Nauru,12500,21,Oceanía
Mónaco,39000,2,Europa
Vaticano,800,0.44,Europa
